Site;Domaine;Activité/Equipement;Type activité ou equipement;Propriètaire;Aspect;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Email du porteur;Date début;Date fin;Avancement plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Mbour Grand Mbour;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Mbour Grand Mbour;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Médina;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Médina;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Médina;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Ouakam;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Ouakam;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Ouakam;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Ourossogui ;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Ourossogui ;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Ourossogui ;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Patte d'Oie;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Patte d'Oie;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Patte d'Oie;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Podor;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Podor;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Podor;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Richard Toll;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Richard Toll;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Richard Toll;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Rufisque CI;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Rufisque CI;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Rufisque CI;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Sacré-Cœur;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Sacré-Cœur;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Sacré-Cœur;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Saint -Louis CI eaux claires;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Saint -Louis CI eaux claires;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Saint -Louis CI eaux claires;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Saly;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Saly;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Saly;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Siège;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Siège;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Siège;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Tamba CI;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Tamba CI;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Tamba CI;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Technopole;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Technopole;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Technopole;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Thiaroye;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Thiaroye;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Thiaroye;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Thiès E10;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Thiès E10;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Thiès E10;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Thies FH;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Thies FH;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Thies FH;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Tivaoune FH;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Tivaoune FH;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Tivaoune FH;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Tivaoune MUX;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Tivaoune MUX;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Tivaoune MUX;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Touba;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Touba;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Touba;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Zighinchor  FH;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Zighinchor  FH;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Zighinchor  FH;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
Ziguinchor MUX;Intervention;Salles Batteries;2;; Rejet hydrogène et d'acides dans l'atmosphère;N;Pollution de l'air;Air;;"Salles batteries équipées d'extracteurs d'air fonctionnels
Travaux de maintenance préventive ou curative périodique des extracteurs d'air par le prestataire";Préventif;Manuelle;;;;;;;3;2;8;2
Ziguinchor MUX;Intervention;Salles Batteries;2;;Déversement ou Fuite d'acide;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour nettoyage des batteries et le sol en cas de déversement d'acide;Détectif;Manuelle;Définir les précautions à prendre et la méthode de confinement et de nettoyage en cas de fuite ou de déversement d’acide au niveau des salles batteries;Mademba.lo@orange-sonatel.com;;31/07/2018;;;1;3;3;3
Ziguinchor MUX;Intervention;Salles Batteries;2;;Acides, métaux lourds (plomb) et batteries laissés sur site;A;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;"Procédure des gestion des déchets, 
Guide de gestion des déchets, 
Contrat cession batteries usagées pour recyclage à Gravita";Préventif;Manuelle;;;;;;;1;2;2;3
