SITE;Domaine d'activité;Activité/ Equipement;Type( Activite ou Equipement);Propriétaire;Danger;Mode de fonctionnement;Risque;Lieu;Manifestation;Dispositif de maîtrise (contrôles);Type de contrôle;Méthode de contrôle;Description PA;Porteur;Date de debut;Date de fin;Avancement;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et technique;Maintenance et Production Réseau;1;;Déplacements fréquents (en véhicule ou à pied);N;Risque de troubles musculo squelettiques;Poste de travail;Dorsolombalgie; - Respect du code de bonne conduite - Sensibilisation de DAL (séminaire annuel sur la sécurité routière)- sensibilisations régulières : rappel des  règles lors des réunions (briefings)vehicules 4x4;Preventif;Manuelle;Organiser des sensibilisations régulières : rappel des  règles lors des réunions (briefings);;;;;Soldé;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Logistique;Gérer les stocks;1;;Manutention (déplacement d'objets lourds);A;Risque de troubles musculo squelettiques;Poste de travail;Douleurs musculaires, hernies discale, lombalgie;Emploi main d'œuvre pour les tâches de manutention;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Entretien des climatiseurs aux heures de travail (poussières et humidité);N;Risque de troubles respiratoires;Poste de travail;Allergies, troubles respiratoires (asthme);Dépoussiérage des climatiseurs en dehors des bureaux;Preventif;Manuelle;;;;;;;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Groupe Electrogène;2;;Fuite de gazoil (dépotage);A;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite;procédure d'approvisionnement en carburant des GE;Preventif;Manuelle;Appliquer la procédure d'approvisionnement en carburant des GE;;;;;Soldé;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Bâtiment;Bâtiment;2;;Inhalation de poussières;N;Risque de troubles respiratoires;Poste de travail;Allergies, rhinite; - Mise à disposition de masques aux agents du  CI - Port des EPI exigé aux agents du nettoiement - Nettoyage régulier des locaux;Preventif;Manuelle;;;;;;;2;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production Réseau;1;;Intervention sur les installations techniques du client (paramétrage de modem);N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Techniciens portent des EPI Appareils sur courant faible;Preventif;Manuelle;;;;;;;1;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Technique;Maintenance et Production Réseau;1;;Manipulation de matériel électrique ( tests, configuration);N;Risque d'électrisation/électrocution;Poste de travail;Brûlures;Techniciens portent des EPI habilitation electrique;Preventif;Manuelle;Faire un rappel des bonnes pratiques QSE : gestion des déchets (cartouches encre) port des EPI etc;fabrice Mendy;;31/12/2016;;Soldé;2;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Intervention;1;;Appareils électriques sous tension permanente;N;Risque d'électrisation/électrocution;Environnement immédiat;Brûlures;Isolement des cablesSensibilisation sur les règles de sécurité et veiller à l'isolement de ces  appareils (exemple : disjoncteur, départ climatiseur, prises électriques …)les sous traitants et prestataires sont intégrés aux séances de sensibilisation QSE;Preventif;Manuelle;Sensibiliser sur les règles de sécurité et veiller à l'isolement de ces  appareils (exemple : disjoncteur, départ climatiseur, prises électriques …)Intégrer les sous traitants et prestataires aux séances de sensibilisation QSE;;;;;Soldé;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Groupe Electrogène;2;;Déversement de carburant à proximité du groupe électrogène lors du dépotage ;A;Risque d'incendie;Environnement immédiat;Brûlures;GE équipé d'une cuve de stockage du carburant Procédure d'approvisionnement en carburant des GE;Preventif;Manuelle;Appliquer la procédure d'approvisionnement en carburant des GE;;;;;Soldé;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;Commercial et Technique;Toutes les activités;1;;Absence de formation sur l'utilisation des extincteurs d'incendie;A;Risque d'incendie;Poste de travail;Brulûre, intoxication;Formation du personnel et des agents de sécurité sur la sécurité incendie;Preventif;Manuelle;;;;;;;1;4;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;;Maintenance et Production  réseau;1;;Défaut de balisage des chantiers;A;Risque d'accident;Environnement immédiat;Traumatisme (fracture, entorse, plaie ouverte, …);Existence de matériel de balisage pour le CISensibilisation de  sous traitants et respect des normes de sécurité;Preventif;Manuelle;New PA: Doter le CI de Ziguinchor du matériel necessaire pour le balisage des chantiers;;;;;Soldé;1;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ziguinchor CI;;Intervention / maintenance;1;;Escabeau défectueux ou non respect des consignes de sécurité;A;Risque de chute de hauteur;;Polytraumatisme (fracture, entorse, plaie ouverte…);Note de sensibilisation sur le travail en hauteurLes équipes de maintenance AVCI et SODECI sont équipés d'escabeau et d'EPIDiffusion par DG SECU des consignes de sécurité aux sous traitants AVCI et SODECI lors des opérations de maintenance.;Preventif;Manuelle;;;;;;;1;3;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
