Site;Domaine;Activité/Equipement;Type (Activité ou equipement ) ;Propriétaire;Danger;Mode Fonctionnement;Risque;Lieu;Manifestation;Dispositif de maitrise;Type de controle;Méthode de controle;Decription PA;Porteur;Dat de début;Date fin;Avancement du plan d'action;Statut;Probabilité/Exposition;Gravité;Criticité;Maturité
Bambey;Intervention;shelters;2;;Manque d'harmonie entre les installations et l'environnement;Normal;Pollution visuelle;Etres humains;;Procédure d'installation des équipements télécoms et respect des normes d'ingénièrieContrôles opérationnels des travaux effectués par les prestataires et fournisseurs sous traitants;Préventif;Manuelle;;;;;;;1;2;2;3
Bambey;Intervention;Batiment;2;;Manque d'harmonie entre les installations et l'environnement;Normal;Pollution visuelle;Etres humains;;Procédure d'installation des équipements télécoms et respect des normes d'ingénièrieContrôles opérationnels des travaux effectués par les prestataires et fournisseurs sous traitants;Préventif;Manuelle;;;;;;;1;2;2;3
Bambey;Commercial;Batiment;2;;Prolifération de l'anophèle (paludisme) dans les eaux stagnantes;Anormal;Risque sur la  santé des Hommes;Etres humains;;Entretien quotidien du site par le prestataire ;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Gestion de la logistique;1;;Matériel et mobiliers à réformer laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'une procédure de gestion du matériel réformé;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Gestion de la logistique;1;;Encombrement par les pneus;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Pneus transférés au Garage dans le cadre de la gestion des déchets;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Maintenance;1;;Encombrement des locaux par des terminaux HS;Anormal;Pollution visuelle;Etres humains;; - Procédure de gestion des déchets  - Terminaux HS de Cambéréne transférés à Thiaroye dans des sacs - Reconditionnement des terminaux HS dans des sacs pour transfert au Centre de stockage de Rufisque;Préventif;Manuelle;;;;;;;1;1;1;3
Cambérène;Intervention;Maintenance;1;;Encombrement des locaux par des terminaux HS;Anormal;Pollution visuelle;Etres humains;;;Préventif;Manuelle;Doter les structures de sacs en plastique pour le conditionnement des terminaux HS à transférer à Ru;;;31-12-2015;;Soldé;1;1;1;3
Cambérène;Toutes les activités;Batiment;2;;Déversement eau des fosses septiques;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Vidanges rapprochés effectués (tous les mois)Branchement fosse septique à l'égout;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Toutes les activités;Batiment;2;;Déversement eau des fosses septiques;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Finaliser le projet de brancher la fosse septique à l'égout (survey effectué et devis établi, reste ;;;31-12-2015;;Soldé;1;2;2;3
Cambérène;Intervention;BTS;2;;Bruit des  extracteurs d'air;Normal;Nuisance sonore;Etres humains, Faune;; - Maintenance des extracteurs d'air par un prestataire - Signalisation de tout fonctionnement pour prise en charge de la maintenance curative des extracteurs d'air-Alternance entre le fonctionnement des climatiseurs et des extracteurs d'air;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;BTS;2;;Bruit des  extracteurs d'air;Normal;Nuisance sonore;Etres humains, Faune;;;Préventif;Manuelle;Projets en cours : VMC, nouveaux climatiseurs, installations outdoor;;;31-12-2015;;Soldé;1;2;2;3
Cambérène;Intervention;Climatiseurs;2;;Dégagement gaz (cfc, F12, F22);Anormal;Pollution de l'air;Air;;signalisation des défectusosités à prendre en charge par le prestataire chargé d'assurer la maintenance curativeDans le cadre de la maintenace préventive changement des équipements par DEX/ECP/NRJChangement de tous les climatiseurs R22 et R12 par R410;Préventif;Manuelle;;;;;;;2;4;8;2
Cambérène;Intervention;Climatiseurs;2;;Dégagement gaz (cfc, F12, F22);Anormal;Pollution de l'air;Air;;;Préventif;Manuelle;Remplacement des climatiseurs par des climatiseurs qui n'utilisent pas du F22;;;31-12-2015;;Soldé;2;4;8;2
Cambérène;Intervention;Climatiseurs;2;;Fuite de substance frigorigène de la climatisation;Anormal;Pollution de l'air;Air;;Existence d'un contrat de maintenance des climatiseurs;Préventif;Manuelle;;;;;;;2;4;8;2
Cambérène;Exploitation;Maintenance;1;;Bruit des onduleurs;Normal;Nuisance sonore;Etres humains, Faune;;Onduleurs dans des salles fermées;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Exploitation;Maintenance;1;;Bruit des redresseurs et baies d'alimentation;Normal;Nuisance sonore;Etres humains, Faune;;Redresseurs dans des salles fermées;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Bruit des perceuses;Normal;Nuisance sonore;Etres humains, Faune;; - Intervention en fonction de la disponibilité du client - Existence d'une brochure sur les comportements à avoir chez le client;Préventif;Manuelle;;;;;;;3;1;3;1
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Bruit du groupe portatif;Normal;Nuisance sonore;Etres humains, Faune;; - Intervention en fonction de la disponibilité du client - Existence d'une brochure sur les comportements à avoir chez le client  - Utilisation occasionnelle;Préventif;Manuelle;;;;;;;3;1;3;1
Cambérène;Intervention;Transformateurs HT;2;;Bruit des transformateurs;Normal;Nuisance sonore;Etres humains, Faune;;Local isolé et fermé;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;MSC;2;;Bruit des MSC (ventilateurs);Normal;Nuisance sonore;Etres humains, Faune;;EPI (casques anti bruit) mis à la disposition des agents pour les interventions et les opérations de maintenanceMSC dans une salle fermée;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Groupes Electrogène;2;;Bruit du groupe électrogène;Normal;Nuisance sonore;Etres humains, Faune;; - Les groupes électrogènes sont dans la cour et sont isolés - Les groupes sont installés en outdoor sur les sites techniques;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Groupes Electrogène;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;Prolongement et orientation du pot d'échappement des groupes électrogènes pour éviter le dégagement de la fumée vers les personnes;Préventif;Manuelle;;;;;;;4;2;8;1
Cambérène;Intervention;Groupes Electrogène;2;;Dégagement de NOx SO2 particules fines (GE);Normal;Pollution de l'air;Air;;Mise en place d'un entretien du GELes groupes sont dans des locaux dédiésElevation et orientation des tuyaux d'échappement;Préventif;Manuelle;;;;;;;4;2;8;1
Cambérène;Intervention;Redresseurs et Onduleurs BT;2;;Odeurs des équipements;Normal;Pollution de l'air;Air;;Redresseurs et onduleurs dans des salles fermées;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Véhicules;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;Maintenance préventive et maintenance curative des véhicules (contrats);Préventif;Manuelle;;;;;;;4;1;4;1
Cambérène;Intervention;Batteries;2;;Odeurs des équipements;Normal;Pollution de l'air;Air;; - Extracteurs d'air dans les salles batteries fermées - Entretien régulier des batteries (planning);Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Production (abonnés et ressources réseaux);1;;Dangers cachés en perçant le mur (poussières, gaz, eau, électricité);Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'une brochure sur les comportements à avoir chez le client;Préventif;Manuelle;;;;;;;3;1;3;1
Cambérène;Intervention;Production (abonnés et ressources réseaux);1;;Altération de l'habitat des  clients, bailleurs (destruction installations);Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Mise à la disposition des équipes d'un outillage adéquat pour percer les murs (perceuse, mèche) - Demande infos sur le câblage ou la tuyauterie auprès du client avant de percer le mur ;Préventif;Manuelle;;;;;;;3;1;3;1
Cambérène;Intervention;Production (abonnés et ressources réseaux);1;;Altération de l'habitat des  clients, bailleurs (destruction installations);Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Remise en l'état avec du plâtre après les travaux;Détectif;Manuelle;;;;;;;3;1;3;1
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Déversement dans la rue de l'eau des chambres en période d'hivernage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Une citerne est mise à la disposition des équipes pour pomper l'eau des chambres et la déverser dans des zones autorisées;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Déversement dans la rue de l'eau des chambres en période d'hivernage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Déversement de l'eau des chambres dans la rue interdit par le Service d'hygiène et les Services techniques des Communes, ils font des rondes pour vérifier;Détectif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Chute de câbles, jarretières, fusibles;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'une procédure de gestion des déchets :  - un espace est aménagé pour entreposer les chutes de câbles - Chutes de câbles transférées à Thiaroye - information de DAL pour ramassage par l'Association des retraités (ANARS) à qui ces chutes de câbles sont vendues;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Existence d'une procédure de gestion des déchets - Existence d'une procédure de gestion du matériel réformé - Les emballages en plastique sont gérés comme des déchets domestiques - Mise en place de bacs à ordures pour dépôt des emballages;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Maintenance préventive;1;;Déversement de produits toxiques, corosifs ( grésil, gasoil, acide...);Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'une procédure et mode opératoire sur le dépotage du carburant;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Maintenance préventive;1;;Accumulation de branches après élagage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;L'élagage est sous traité et le transport des branches et des herbes fait partie du marché : le contrat avec le sous traitant exige l'enlèvement des branches et herbes après élagage;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Maintenance préventive;1;;Accumulation d'herbes après élagage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;L'élagage est sous traité et le transport des branches et des herbes fait partie du marché : le contrat avec le sous traitant exige l'enlèvement des branches et herbes après élagage;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Groupes Electrogène;2;;Chiffons de nettoyage laissés sur place;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Obligation du prestataire de remettre le site en l'état après entretien des groupes électrogènes - Contrôle du CI après intervention du prestataire;Préventif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;Groupes Electrogène;2;;Cartouche, huile morte, batteries laissées sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Obligation du prestataire de remettre le site en l'état après entretien des groupes électrogènes - Contrôle du CI après intervention du prestataire;Préventif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;Groupes Electrogène;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Commande de carburant en fonction de l'index (niveau de carburant dans la cuve)  - Cuve équipée de jauge;Préventif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;Transformateurs HT;2;;Rejet de diélectrique (huile sans PCB/PCT);Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'un contrat d'entretien semestriel des transformateurs ;Préventif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;Redresseurs et Onduleurs BT;2;;Déchets de matériel électrique et électronique des redresseurs onduleur basse tension;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'une procédure : les modules remplacés sont remis à Energie;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;BTS;2;;Ecoulement eau des climatiseurs;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Problèmes de drainage de l'eau des climatiseurs signalés dans GEDAL ou directement au fournisseur Matforce pour les sites techniques;Détectif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Climatiseurs;2;;Fuite ou rejet d'eau glycolée de la climatisation;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Existence d'un contrat de maintenance des climatiseurs - Remise à niveau du systéme d'évacuation des eaux de climatiseurs;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Terminaux telephoniques;1;;Encombrement des locaux par des terminaux HS;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Procédure de gestion des déchets  - Terminaux HS de Cambéréne transférés à Thiaroye dans des sacs - Reconditionnement des terminaux HS dans des sacs pour transfert au Centre de stockage de Rufisque;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Imprimante;2;;Encombrement par cartouches déjà utilisées;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Organisation du recyclage des cartouches d'imprimantes : cartouche usagée remise pour nouvelle cartouche au niveau du Magasin;Préventif;Manuelle;;;;;;;1;1;1;3
Cambérène;Intervention;Gestion du stock;1;;Encombrement des sites par du matériel déposé ou hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;; - Existence d'une procédure de gestion du matériel réformé - Matériel à réformer transféré à Thiaroye;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Répartiteur;2;;Chute de câbles, jarretières, fusibles;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Existence d'une procédure de gestion des déchets :  - un espace est aménagé pour entreposer les chutes de câbles - Chutes de câbles transférées à Thiaroye - information de DAL pour ramassage par l'Association des retraités (ANARS) à qui ces chutes de câbles sont vendues;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Batteries;2;;Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Equipements de protection individuels (gants, masques, lunettes, blouse, bottes) distribués aux agents concernés;Préventif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;Batteries;2;;Fuite d'acide;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;De l'eau en permanence (robinet) dans les salles batterie pour verser en cas de déversement d'acide;Détectif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;Toutes les activités du site;1;;Encombrement par mobilier hors d'usage;Anormal;Pollution visuelle;Etres humains;;Procédure de gestion du matériel réformé : tourets, emballages en bois et matériel usagé;Préventif;Manuelle;;;;;;;1;1;1;3
Cambérène;Intervention;Production (abonnés et ressources réseaux);1;;Mise en place de poteau, armoires en violation des propriétés de riverains;Anormal;Pollution visuelle;Etres humains;;Contrôle opérationnel vérifie les installations pour s'assurer du respect des normes d'ingénierie;Détectif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Production (abonnés et ressources réseaux);1;;Non remise en l'état des remblais des tranchées après les travaux;Anormal;Pollution visuelle;Etres humains;; - Contrôle niveau 1 par le contrôle opérationnel  - Contrôle niveau 2 des travaux des sous traitants effectué par le service Qualité de RESA;Détectif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Production (abonnés et ressources réseaux)Maintenance;1;;Chambres surelevées par rapport au niveau de la chaussée et des trottoirs;Anormal;Pollution visuelle;Etres humains;;Existence de norme d'installation des chambres (sur le trottoir ou sur la chassée). Voir avec RESA;Préventif;Manuelle;;;;;;;4;1;4;1
Cambérène;Intervention;Gestion du stock;1;;Exposition des poteaux dans les sites et dans la voie publique;Anormal;Pollution visuelle;Etres humains;; - Aménagement d'aires de stockage à l'air libre pour les poteaux, trappes de chambres, tourets de câbles… - Demande aux intervenants de transférer les poteaux à Thiaroye pour vente (respect de la procédure : information acquéreur des dangers) ou réutilisation ;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Exploitation;Installation des équipements;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;; - Vérification de la tension électrique et de l'existence d'anomalies au niveau de l'alimentation (centralisé au TNP) - Voir contrôles de l'Energie - Communication sur les gestes verts dans intracom et démarrage windows;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Exploitation;Production (abonnés et ressources réseaux) & Maintenance;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;; - Communication sur les gestes verts dans intracom et démarrage windows - Alimentation des Sous Répartitions (SR) à badge : surconsommation lorsque le câble a pris de l'eau : court circuit ;Préventif;Manuelle;;;;;;;1;1;1;3
Cambérène;Intervention;Production (abonnés et ressources réseaux) &  maintenance (Utilisation du groupe portatif);1;;Forte consommation de carburant;Anormal;Surconsommation d'énergie;Ressources naturelles;;Dépose des équipements non fonctionnels et réformes des équipements après la durée de vieMaintenance préventive des équipements par le CIMise en place d'une campagne de communication sur les gestes verts;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Inspection réseau;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;;Communication sur les gestes verts dans intracom et démarrage windows;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Pilotage des interventions;1;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;;Communication sur les gestes verts dans intracom et démarrage windows;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;BTS;2;;Forte consommation d'énergie;Anormal;Surconsommation d'énergie;Ressources naturelles;; - Dépose des équipements non fonctionnels et réformes des équipements après la durée de vie - Maintenance préventive des équipements par le CI;Préventif;Manuelle;;;;;;;1;1;1;3
Cambérène;Intervention;Véhicules;2;;Forte consommation de carburant;Anormal;Surconsommation d'énergie;Ressources naturelles;; - Maintenance préventive et maintenance curative des véhicules (contrats) - Des prestataires sont agréés avec un cahier des charges et sont suivis par le Garage - Séances de sensibilisation des utilisateurs lors des briefing - Code de conduite de la DAL - Formations sur la sécurité routière par la DAL;Préventif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Véhicules;2;;Forte consommation de carburant;Anormal;Surconsommation d'énergie;Ressources naturelles;; - Suivi de la consommation des véhicules par DAL/Immo-Tr - Remontée et suivi des dysfonctionnements constatés par les CI;Détectif;Manuelle;;;;;;;2;1;2;2
Cambérène;Intervention;Climatiseurs;2;;Rejet Chaleur par les équipements;Normal;Risque sur la  santé des Hommes;Etres humains;;Condenseurs placés dans des endroits isolés pour éviter le contact avec les personnes;Préventif;Manuelle;;;;;;;1;1;1;3
Cambérène;Intervention;Rayonnement électromagnétiques des guides d'ondes;2;;Rayonnement électromagnétique des pylônes et antennes (téléphonie mobile et transmission hertzienne);Normal;Risque sur la  santé des Hommes;Etres humains;;Bonne fermeture des connecteurs, veiller à l'étancheitéLimitation de l'accès aux sitesRègles de limitation des puissances en cas d'intervention Ex: arrêt de la BTS lors d'une intervention prolongée;Préventif;Manuelle;;;;;;;4;1;4;1
Cambérène;Intervention;Batiment;2;;Paratonnerre ionisant (Paratonnerres et maillage de masse);Anormal;Risque sur la  santé des Hommes;Etres humains;;Installation de paratonnere Franklin à pointe non ionisant;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Production (abonnés et ressources réseaux) & Maintenance;1;;Absence de balisage des chantiers;Anormal;Risque sur la  santé des Hommes;Etres humains;;Balisage systématique des chantiers : panneaux de signalisation, cônes, gardes fous,bande rouge blanc;Préventif;Manuelle;;;;;;;2;2;4;2
Cambérène;Intervention;Groupes Electrogène;2;;Vibrations du groupe électrogène;Normal;Risque sur la  santé des Hommes;Etres humains;;Groupes dans la cour et isolés;Préventif;Manuelle;;;;;;;1;2;2;3
Cambérène;Intervention;Pylône;2;;Absence de balisage des équipements aériens;Anormal;Risque sur la  santé des Hommes;Etres humains;;Pylones balisés et peint en rouge blanc;Préventif;Manuelle;;;;;;;1;3;3;3
Cambérène;Intervention;BSC;2;;Rejet Chaleur par les équipements;Normal;Risque sur la  santé des Hommes;Etres humains;;Climatiseurs (armoires) installés au niveau des BSC;Préventif;Manuelle;;;;;;;1;2;2;3
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;Réparation et rallongement du pot d'échappement du  GE pictogrammes;Détectif;Manuelle;;;;;;;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Dégagemement de CO2;Normal;Pollution de l'air;Air;;;Préventif;Manuelle;Réparer et rallonger le pot d'échappement du  GE pictogrammes;;;31-12-2015;;Soldé;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Dégagement de NOx SO2 particules fines (GE);Normal;Pollution de l'air;Air;;""" - Signalistion à la DAL pour réparations - Maintenance Préventive du GE - Proposition réforme si nécessaire """;Préventif;Manuelle;;;;;;;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Déversement, fuite  de gasoil ou d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Afficher le mode opératoire de dépotage du carburant et pictogrammes;Papa Abdoulaye SOW;;15-06-2015;;Annulé;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Vibrations du groupe électrogène;Normal;Risque sur la  santé des Hommes;Etres humains;;Maintenance préventive et curative  du GEDotation de casques anti bruit + pictogrammes;Détectif;Manuelle;;;;;;;1;2;2;3
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Vibrations du groupe électrogène;Normal;Risque sur la  santé des Hommes;Etres humains;;;Préventif;Manuelle;Doter les agents chargés d'intervenir sur le GE de casques anti bruit + pictogrammes;;;31-12-2015;;Soldé;1;2;2;3
Centre de Stockage de Rufisque (CSR);Toutes les activités;Gestion de la logistique;1;;Matériel et mobiliers à réformer laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Procédure de réforme et vente organisée des mobiliers réformés;Préventif;Manuelle;;;;;;;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Gestion de la logistique;1;;Matériel et mobiliers à réformer laissés sur site;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage;Papa Abdoulaye SOW;;15-06-2015;;Annulé;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;mobiliers;2;;Encombrement par mobilier hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;redéploiement en cours vers d'autres sonatelProcédure de réforme et vente organisée des mobiliers réformés;Préventif;Manuelle;;;;;;;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;mobiliers;2;;Encombrement par mobilier hors d'usage;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Procéder au désencombrement du site de matériel déposé ou hors d'usage;Papa Abdoulaye SOW;;30-09-2016;;Soldé;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Bruit du groupe électrogène;Normal;Nuisance sonore;Etres humains, Faune;; - Maintenace préventive par le fournisseur et signalisation de tout dysfonctionnement pour la maintenance curative par le fournisseur;Détectif;Manuelle;;;;;;;2;2;4;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Groupes Electrogène;2;;Bruit du groupe électrogène;Normal;Nuisance sonore;Etres humains, Faune;;;Préventif;Manuelle;Isoler le groupe électrogene dans un abris avec des pictogrammes;Papa Abdoulaye SOW;;31-12-2015;;Soldé;2;2;4;2
Centre de Stockage de Rufisque (CSR);gestion du stock;stockage de cartes et terminaux;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;Aménagement d'une aire de stockagele prestataire de nettoiement enlève les emballagesProcédure de gestion des magasinsles caisses en bois sont revendues ;Détectif;Manuelle;;;;;;;3;1;3;1
Centre de Stockage de Rufisque (CSR);gestion du stock;stockage de cartes et terminaux;1;;Emballage des terminaux, modems, postes, cartes, etc.;Normal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Prévoir une aire de  de stockage dédiée aux déchets de fonctionnement du CSR;;;31-12-2015;;Soldé;3;1;3;1
Centre de Stockage de Rufisque (CSR);gestion du stock;Transformateurs MT/BT;2;;fuite de diélectrique (huile sans PCB/PCT);Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée pour les  déchets et matériels speciaux DIS;Papa Abdoulaye SOW;;15/06/2017;;Non fait;3;3;9;1
Centre de Stockage de Rufisque (CSR);gestion du stock;Groupes Electrogène;2;;fuite d'huile;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée pour les  déchets et matériels speciaux DIS;Papa Abdoulaye SOW;;15/06/2017;;Non fait;2;2;4;2
Centre de Stockage de Rufisque (CSR);gestion du stock;Groupes Electrogène  et cuves;2;;fuite de gasoil;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée pour les  déchets et matériels speciaux DIS;Papa Abdoulaye SOW;;15/06/2017;;Non fait;3;2;6;1
Centre de Stockage de Rufisque (CSR);gestion du stock;acide sulfurique;2;;fuite d'acide sulfurique;Anormal;Pollution des sols, sous sols et du bâtiment;Sols, Sous sols, Eau, Flore, Bâtiments;;;Préventif;Manuelle;Aménager au niveau du site une aire de stockage adaptée pour les  déchets et matériels speciaux DIS;Papa Abdoulaye SOW;;15/06/2017;;Non échu;2;3;6;2
Centre de Stockage de Rufisque (CSR);Technique;Onduleurs BT;2;;Bruit des redresseurs et baies d'alimentation;Normal;Nuisance sonore;Etres humains, Faune;; - Intervention de premier niveau par le CI pour dysfonctionnement constaté - Maintenance préventive et curative par le fournisseur ou prestataire;Préventif;Manuelle;;;;;;;2;1;2;2
Centre de Stockage de Rufisque (CSR);Toutes les activités;Climatiseurs;2;;Bruit des climatiseurs;Normal;Nuisance sonore;Etres humains, Faune;; les batimentts du site sont isolés, pas de voisinage immédiat - Signalisation des défectuosités à prendre en charge par le prestataire chargé d'assurer la maintenance curative.maintenance préventive par le prestataire ;Préventif;Manuelle;;;;;;;2;2;4;2
