Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email du Porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Commercial;Image;Ressources Humaines;Juridique;Criticité;Maturité CI
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Délai de conservation des stocks projet;;;;;;;;"projet transformation supply chain en cours 
inventaire de tous les équipements projets en stock à potou et rufisque - 
suivi détaillé des mouvements d'articles
reporting mensuel sur l'âge du stock";Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non exhaustivité des mouvements saisis dans Oracle;;;;;;;;- Un tableau de suivi hebdomadaire des commandes et des livraisons permet au chef CMD de vérifier si l'agent a tout saisi dans Oracle, il vérifie la réception dans Oracle à partir des numéros de réception à confirmer - Interdit de livrer sans saisie dans ;Détectif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non exhaustivité des mouvements saisis dans Oracle;;;;;;;;Le  gestionnaire des stocks est membre de la commission de réception  et peut donc rapprocher les quantités réceptionnées et mises à disposition dans Oracle avec les quantités qui doivent être reçues.;Détectif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non exhaustivité des mouvements saisis dans Oracle;;;;;;;;A la présentation d'un bon de sortie, le gestionnaire de stock vérifie dans Oracle si toutes les lignes sont approuvées avant de livrer.Le Borderau de Prélèvement ne peut être édité que s'il est saisi et approuvé;Détectif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non exhaustivité des mouvements saisis dans Oracle;;;;;;;;- Une position est dédiée au pilotage des réceptions reçoit le tableau des quantités livrées qu'il compare avec les livraisons dans Oracle avant de valider.Il valide sur la base des borderaux de livraison et le chef GDL s'assure que gestionnaire a fait  l;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Erreur de calcul des prix de revient;;;;;;;;- Paramétrage dans Oracle par DFC d'un modèle de détermination automatique des Coûts Unitaires Moyens Pondérés), avec la prise en compte de l'ensemble des coûts d'approche;Préventif;Automatique;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Mauvaises conditions de stockage des articles;;;;;;;;"- Les emplacements des articles (quai, baies, armoires, aires de stockage …) sont définis dans Oracle- GCL/GDS veille au respect des conditions de stockage et les dysfonctionnements sont remontés.- Mise à niveau des magasins
Alerte par GCL/GDS en cas de r";Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non remontée des besoins de la Technique;;;;;;;;"Demande à DRPS de valider les stocks obsolètes au moins une fois par an
Analyse régulière du stock par DAL/GCL/GDA et décision de commande sur la base des historiques de consommaton et des seuils de consommation
Remontée par DAFC de leurs besoins";Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Non sécurisation des lieux de stockage;;;;;;;;"Seul le magasinier détient les clés du magasinA
ccès au magasin par biométrie
Site sous vidéosurveillance
Système de détection et d'extinction des incendies avec un déclenchement automatique";Détectif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Rupture de stocks;;;;;;;;#NOM?;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Rupture de stocks;;;;;;;;- Seuils de réapprovisionnement corrigés en tenant compte des délais réels d'appro'- Mise en place des commandes ouvertes en T4 n-1, pour anticiper les besoins n+1 et éviter les ruptures de stock en début d'année'- Analyse hebdomadaire de la situation des;Détectif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Rupture de stocks;;;;;;;;- Définition de seuils de sécurité et de  réapprovisionnement par type d'articles. Suivi hebdomadaire des articles A+ et mensuel des autres articles par le GDA et diffusion à toutes les entités concernées. Le niveau des stock est analysé lors du briefing ;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Rupture de stocks;;;;;;;;Mise en place de commandes ouvertes pour anticiper les commandes du T1 enT4 N-1Les commandes effectuées sont enregistrées sans contrôle budgétairele contrôle budgétaire se fait lors du rappel de commande;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Rupture de stocks;;;;;;;;Les mouvements de stocks sont régulièrement saisis dans Oracle pour avoir des soldes à jour.;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Rupture de stocks;;;;;;;;Cadre de concertation avec les principaux prescripteurs: établissement du niveau de consommation pour chaque article et consultation pour avoir les besoins Coordination au besoin avec les fournisseurs pour avancer les livraisons ou avoir des livraisons partielles;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de non maîtrise des stocks;Retard de livraison;;;;;;;;Mise en place d'une répartition systématique des commandes entre des fournisseurs pour pallier la défaillance de l'un des fournisseurs Meilleure anticipation des  et mise en place d'un stock de sécurité Contractualisation de l'application de pénalités aux fournisseurs;Préventif;Manuelle;2;1;1;1;1;2;1;2;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque d'achat non-conforme;Erreurs sur la génération des inputs file : Erreur de production par les fournisseurs de carte;;;;;;;;"- Contrôle bloquant : SIM bloqué au niveau technique en cas de différence entre l'output file et les cartes SIM
- Test des cartes SIM par échantillon avant livraison";Préventif;Automatique;3;2;1;2;2;;1;5;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque d'achat non-conforme;Erreurs sur la génération des inputs file : Erreur de production par les fournisseurs de carte;;;;;;;;Blocage des cartes en cas de dysfonctionnement;Préventif;Manuelle;3;2;1;2;2;;1;5;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque d'achat non-conforme;Erreurs sur la génération des inputs file : Erreur de production par les fournisseurs de carte;;;;;;;;Après la génération des input  files par le chef de service PRR, Existence d'un second niveau de contrôle effectué par le chef de département DEX/ERE. -  À vérifier;Préventif;Manuelle;3;2;1;2;2;;1;5;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque d'achat non-conforme;Erreurs du fournisseur sur les valeurs faciales;;;;;;;;"Fourniture du compte-rendu de production par le fournisseur (plages des numéros de série avec les non-conformités constatées en production et la nature des non-conformités et commentaires sur le traitement réservé aux non-conformités avec le visa de leur auditeur et de leur dir exploitation) Échantillonnage obligatoire après production de chaque volume convenu pour contrôle
Contrôle lors de la réception de la commande sur un échantillon";Préventif;Manuelle;3;2;1;2;2;;1;5;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque d'achat non-conforme;Non-conformité de la chaine de production du fournisseur;;;;;;;;Etablissement d'un rapport sur les causes de la recurrence des codes illisibles avec des plans d'actionVisite de la chaîne de production du fournisseur avec un rapport de risques et des PA en compagnie de ARQ/DMI;Préventif;Manuelle;3;2;1;2;2;;1;5;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de divulgation d’informations confidentielles ;Transfert non sécurisé des codes de recharges;;;;;;;;- La liste des codes des cartes à activer est transmise à GDA dans une clé et transmission du message codé par mail- Transfert d'un fichier crypté au fournisseur ( adresse du fournisseur qui décripte avec sa clé PGP)- Traçabilité commande pour arrêter tou;Préventif;Manuelle;1;2;1;2;2;;3;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de divulgation d’informations confidentielles ;Multiplicité des acteurs manipulant les codes;;;;;;;;- limitation de l'accès à l'application de gestion des codes au chef du service- Génération des clés de décryptage des cartes SIM par DI/TER à vérifier;Préventif;Manuelle;1;2;1;2;2;;3;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de divulgation d’informations confidentielles ;Mauvaise qualité des éléments de supports carte (encre, impression, grammage papier);;;;;;;;- Clause contractuelle sur la qualité des cartes- Visite d'évaluation annuelle des fournisseurs en relation avec ARQ/DMI;Préventif;Manuelle;1;2;1;2;2;;3;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de fraude;Livraison de biens d'une quantité inférieure à celle commandée;;;;;;;;"Rapprochement entre les quantités physiques réceptionnées et le bon de livraison:A la livraison, le responsable du magasin réception procède au comptage physique (nombre de palette) et rapproche les quantités livrées de celle figurant sur le bordereau de  livraison du fournisseur et le bon de commande. En cas de conformité, il signe le bordereau de livraison et conserve une copie.
Cordon de sécurité sur le colis. Saisie dans Oracle les quantités réceptionnées bouclage journalier des stocks Inventaire physique mensuel Prélèvement par chef CR à vérifier Automatisation dans Oracle : Contrôle de la réception lors du paiement des factures par DFC/FGITraçabilité de tous les mouvements dans Oracle";Détectif;Manuelle;1;2;1;2;3;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de fraude;Dépréciation abusive des stocks (dépréciation accélérée, surévaluation des commandes ou d'abus sur la méthode de dépréciation des stocks);;;;;;;;Règles de dépréciation définis par la comptabilité (stocks dormants, morts …)'- définition des règles de dépréciation des stocks par DFC/DPC- les dépréciations sont autorisées par DG- séparation des tâches: prescripteur/achat/commande;Préventif;Manuelle;1;2;1;2;3;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de fraude;Enregistrement de stock dans un compte inutilisé dans le but de le subtiliser;;;;;;;;Inventaire physique et justification des écarts d'inventaire;Détectif;Manuelle;1;2;1;2;3;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de fraude;Remplacement des contenus (ex: cartons remplis de pierre);;;;;;;;Cordon de sécurité apposé sur les cartons Comptage des cartons ouverts lors de l'inventairePaiement lié à la réception dans OracleInventaires mensuels et semestriels;Préventif;Manuelle;1;2;1;2;3;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de fraude;Perte lors de la livraison ou de transfert;;;;;;;;Bon de consommation sur stock déchargé à la livraison par le CR demandeur (ou son représentant), après contrôle des quantités livréesEmission d'un bon de livraison lors des transferts entre magasinInventaire physique des stocks par GDA et DVRI;Préventif;Manuelle;1;2;1;2;3;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les entrepôts;Risque de fraude;Livraison de biens d'une qualité inférieure à celle commandée;;;;;;;;Cartes:- Pas de contrôle qualitatif à la réception des cartes mais uniquement à la livraison à DVRI pour éviter de déballer les cartons- Rejet en cas de non-conformité lors de la livraison par DVRITerminaux: - réception d'échantillon de test pour le marketing et la technique- réception d'échantillon poste fixes par GDS et vérification des références - réception poste mobile par magasinier GDS et vérification des références Avant achat, un échantillon présenté par le fournisseur est testé pour les nouveaux articles( techniques, terminaux, décodeurs…).Rapport de test fourni . Une réception qualitative des articles stockés est effectuée par une Commission de réception après un contrôle qualité : un contrôle qualité est fait et des structures sont invitées pour faire des tests (fournitures réseaux et terminaux) Les articles non stockés sont reçus directement par leurs bénéficiaires Commission de réception Demande échantillon pour les nouveaux articles. En cas de non-conformité des articles livrés, ils peuvent être rejetés et la facture non certifiée, la facture ainsi rejetée n'est pas payée;Préventif;Manuelle;1;2;1;2;3;;;2;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque d'achat non-conforme;Non-conformité commande/livraison;;;;;;;;- Coordination des retours avec le CR demandeur pour les fournisseurs étrangers- Recette qualitative et quantitative par une commission- Rejet en cas de non-conformité - Critère qualité pris en compte lors de l'évaluation des fournisseurs - Cahier de char;Préventif;Manuelle;2;2;1;2;2;;1;3;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque d'achat non-conforme;Définition incorrecte des besoins;;;;;;;;- Spécification des besoins par le prescripteur validé par le Département achat et le Directeur Achats - Validation CDC  par CA en présence du prescripteur, supérieur hiérarchique pour les achats stratégiques ou importants - Déroulement de tout le process;Préventif;Manuelle;2;2;1;2;2;;1;3;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de Corruption;Acceptation de cadeaux au-delà des seuils et types autorisés;;;;;;;;"Existence d'une Charte de déontologie des achats qui pose des règles pour les relations avec les fournisseurs.
Diffusion d'une Note sur les cadeaux. 
Fournisseurs informés sur les règles éthiques : charte diffusée. 
Fournisseur évalué sur les aspects éthiques. 
Dans le baromètre : question au fournisseur si quelqu'un leur a demandé des cadeaux. 
Tous les cadeaux enregistrés au niveau du secrétariat avec indication de la valeur. 
Cadeaux de valeur retournés au fournisseur, modèle de lettre élaboré par DGA/CIR";Préventif;Manuelle;1;3;2;;4;2;4;3;3
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de redressement douanier;Non-conformité aux codes douaniers;;;;;;;;- Gestion des dossiers en amont, bien avant l'expédition des marchandises : Réclamation de la DPI dans un délai de 5jrs après notification des BC - Réception liste de colisage - Etablissement de la déclaration sur la base de la proforma du fournisseur ava;Préventif;Manuelle;2;2;2;;2;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de redressement douanier;sous-évaluation de la facture pro-forma des équipements;;;;;;;;"Vérification de la concordance entre la proforma et le BC pour les équipements au besoin (quand il y a différence entre le BC et la facture proforma). 
Validation avec les acheteurs des libellés de la proforma";Détectif;Manuelle;2;2;2;;2;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de redressement douanier;non respect du programme de vérification des importations;Envoyer une lettre d'information à l'endroit de tous les CR pour les exhorter à informer DAL/GCL des colis devant traverser le cordon douanier pour intégration dans le programme douanierPOUR LES ECHANTILLONS ET LES EQUIPEMENT DE TESTS N’AYANT PAS FAIT L’O;Pape Amadou FALL;PapeAmadou.FALL@orange-sonatel.com;;31/10/2017;;Soldé;Note de rappel sur le contournement du PVI posté sur la comm interne en Octobre 2017;Préventif;Manuelle;2;2;2;;2;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de redressement douanier;non respect du programme de vérification des importations;;;;;;;;Note de rappel sur le contournement du PVI posté sur la comm interne en Octobre 2017;Préventif;Manuelle;2;2;2;;2;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de redressement douanier;Erreur sur la déclaration;;;;;;;;- Formation des agents de transit  - Contrat de d'assistance avec des colonels de douane à la retraite avec un focus sur les vérifications des déclarations au-delà d'un certain montant (5millions) - Elaboration d'un catalogue des codes douaniers par artic;Préventif;Manuelle;2;2;2;;2;;;4;2
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de retard de livraison fournisseurs;Absence de Notification des rejets des livraisons non conformes;;;;;;;;remontée au service commande et achat des livraisons non conformes dans un délai de 24hrs;Préventif;Manuelle;3;1;;1;;;;3;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de retard de livraison fournisseurs;Retard dédouanement;;;;;;;;- Objectifs fixés pour le dédouanement des produits sont de 48 heures en aérien et 10 jours en maritime. Objectifs suivis dans les tableaux de bord GCL, GDA (gestion de la demande et des appro) et DAL.Mise en place d'un crédit douane de 700 millions par e;Préventif;Manuelle;3;1;;1;;;;3;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de retard de livraison fournisseurs;Non respect du délai de livraison par fournisseurs;Mise à jour de l'outil interne de suivi des livraisons;Pape Amadou FALL;PapeAmadou.FALL@orange-sonatel.com;04/10/2017;31/10/2017;;Non fait;;;;3;1;;1;;;;3;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de retard de livraison fournisseurs;Non respect du délai de livraison par fournisseurs;;;;;;;;- Outil interne pour importation et renforcemen des RH pour le suivi des commandes - résiliation de la commande en cas de retard important avec  - Délai de réalisation des prestations pris en compte dans l'évaluation des fournisseurs- Application de pénal;Préventif;Manuelle;3;1;;1;;;;3;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de retard de livraison fournisseurs;planification tardive et/ou manque de fiabilité des besoins exprimés;;;;;;;;COPIL stock hebdo pour le commercialCOPIL stock SPER mensuelCoordination par lmail des fournitures lignes réseau et Diffusion hebdo de l'état des stocksDiffusion hebdomadaire de l'état des stock aux principaux prescripteursSuivi hebdo du stoks A+ en réunion de coordination;Préventif;Manuelle;3;1;;1;;;;3;1
Piloter les Achats et la logistique ;Gérer la Chaine Logistique ;Gérer la Chaine Logistique ;SNT DAL \ GCL;Gérer les approvisionnements;Risque de fraude;Achats déguisés:facturation de biens ou prestataions différents de ceux effectivement livrés suite à une complicité interne;;;;;;;;Traçabilité de toutes les opérations dans OracleRéception des stocks sous OracleContrôle périodique (inventaires obligatoires de juin et décembre avec les commissaires aux comptes - inventaires mensuels) des stocks oracle vs physique Sélection de code article jusqu'à la fin de l'achat;Préventif;Manuelle;1;1;1;;;;;1;3
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Non fiabilité de la liste des ayant-droits envoyés par DRH;Automatiser  le procédé de collecte des ayant-droits, du  calcul du volume de carburant et du nombre d'UV à commander;CHEIKH SADIBOU TALL;CSTall@orange-sonatel.com;;31/12/2017;;En cours;;;;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Non fiabilité de la liste des ayant-droits envoyés par DRH;;;;;;;;Extraction de la liste des ayant-droits tirés de Oracle et fournis par DRH/DSP Contrôle au niveau de DALI/IMMOTR/GRE du fichier en comparaison du fichier N-1 et N+1;Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Absence de contrôle des montants commandés;;;;;;;;Suivi des commandes par le chef de service GRE et le chef de département IMMOTR;Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Dotation en doublon d'une personne;;;;;;;;Vérification sur les listes de dotation par carte ou ticketRégularisation dès constat;Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Défaut de traçabilité de la commande;;;;;;;;Copie d'écran envoyée par DRVI et un mail de confirmation dès que les UV sont positionnés sur le compte Réception d'un rapport de chargement de DOM/DO;Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Absence de notifications aux agents du positionnement des UV;;;;;;;;Après positionnement des UV, le souscripteur reçoit la notification de OM;Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Erreurs sur les montants caluclés/ commandés à DRVI;;;;;;;;"Après traitement du fichier reçu de DRH (vérification des surplus, doublons, etc) demande d'un devis, saisie de la DA avec anticipation de la commande sur un mois
Rapprochement entre la copie d'écran envoyée par DRVI et le montant commandé
Contrôle des échecs 48hrs après sur la base du rapport fourni par DOM/DO et gestion avec DOM/DO et IMMOTR/GRE
Suivi des commandes par le chef de service GRE et le chef de département IMMOTR";Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Utilisation abusive du carburant;;;;;;;;"Fiabilisation du parc de véhicules posté sur le sharepoint DAL et mis à jour ans le cadre de coordination avec DRPS, DV, etc
Redéfinition des indicateurs de suivi
Rapports mensuels et hebdos sur la base de la comparaison entre les infos de la géolocalisation et les informations sur les cartes envoyées par Total
Système de géolocalisation en cour de généralisation sur le parc des véhicules d'exploitation
Contrôle de la dotation en cours avant toute dotation supplémentaire
Fiabilisation des capacités des véhicules
Limitation des prises journalières à 2 par véhicule
Limitation des prises à la capacité du véhicule";Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;Vol de tickets de carburant;;;;;;;;"- Conservation des tickets dans un coffre
  - Remise tickets en fonction des besoins exprimés
  - Décharge signée par les agents en cas de demande ponctuelle (mission, etc) sous condition de la saisie de la DA par l'agent

 - Suivi mensuel du stock de tic";Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;GE mobile non identifiés;Automatiser  le procédé de collecte des ayant-droits, du  calcul du volume de carburant et du nombre d'UV à commander;CHEIKH SADIBOU TALL;CSTall@orange-sonatel.com;;31/12/2017;;En cours;;;;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de fraude;GE mobile non identifiés;;;;;;;;Extraction de la liste des ayant-droits tirés de Oracle et fournis par DRH/DSP;Préventif;Manuelle;2;2;2;2;3;1;;4;2
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de dégradation de la qualité de service;Défaut d'énergie (factures fournisseurs impayées ou payées en retard);;;;;;;;- Sonatel est géré en grand compte par Sénélec et SDE-Fichier de suivi des polices d'électricité pour mise à jour et relance en cas d'omission (exhaustivité, doublon...). - Vérification des facture avant transmission à la DFC pour paiement;Détectif;Manuelle;3;2;1;2;2;2;;5;1
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de dégradation de la qualité de service;souscription à une puissance électrique insuffisante;;;;;;;;"demande de souscription en fonction de la catégorie du bâtiment et du bilan de puissance (établi en interne ou par un prestataire)
Revues périodiques des bilans de puissance et réadaptation en fonction des historiques des factures

Suivi régulier des polices d'électricité pour mise à jour et relance en cas d'omission (exhaustivité, doublon...) - Estimation de 2 puissances moyennes pour l'année";Préventif;Manuelle;3;2;1;2;2;2;;5;1
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de dégradation de la qualité de service;mauvais dimensionnement de nos batteries de compense (génération de cosfil dans le réseau senelec);;;;;;;;"'Tableau de suivi des pénalités cos phi
'Pose et dimensionnement des batteries par DRPS
Coordination avec DRPS en cas de pénalités reçues de Senelec
Phase pilote en cours (sites de thiaroye, médina et diourbel) du suivi proactif des pénalités cosfil avec un prestataire avec l'objectif de ne plus payer des pénalités mais plutôt d'avoir des gains";Préventif;Manuelle;3;2;1;2;2;2;;5;1
Piloter les Achats et la logistique ;Gérer l'immobilier et le transport;Gérer l'immobilier et le transport;SNT DAL \ IMMO-TR;Gérer les ressources énergétiques;Risque de dégradation de la qualité de service;arrêt de fonctionnement des GE dû à une absence de supervision de la consommation sur les sites par le prestataire SOLARCOM: absence de remontées ou remontées inexhaustives;;;;;;;;"Depuis Janvier 2016, Solarcom est responsable de la commande et de la livraison du carburant
Suivi en temps réel du carburant avec Electra sur à peu près 129 sites";Préventif;Manuelle;3;2;1;2;2;2;;5;1
