Macro Processus;Processus;Sous Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Commercial;Images;Ressources Humaines;Juridique;Criticité;Maturité CI
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Défaillance des prestataires externes ;"Plan de continuité d'activité à mettre à jour en intégrant l'aspect défaillance des prestataires
";TIDIANE CISSE;;16/10/2018;15/11/2018;;Non échu;Recherche d'un 3ème prestataire en cours ;Préventif;Manuelle;4;3;2;4;4;2;3;12;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Accueillir les clients en ligne;Risque de mauvaise prise en charge des signalisations clients externes;Difficultés à absorber l'augmentation du flux d'appels en hivernage;"Attente: Campagne de Maintenance préventive hivernale des lignes téléphoniques par DRPS
A voir avec Yaya Moustapha Sow";AISSA NDIAYE TOURÉ;;16/10/2018;15/11/2018;;Non échu;Renforcement de l'équipe avec des conseillers hivernals pour une durée de 3mois;Préventif;Manuelle;2;3;2;4;4;2;3;6;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Créer de la valeur: Vendre en rebond sur les appels entrants;Risque de mauvaise prise en charge des signalisations clients externes;priorisation de la vente au détriment de la prise en charge des réclamations/signalisations par les CCs;;;;;;;;"Interdiction pour les CCs d'effectuer une vente en rebond sur les clients insatisfaits
Contrôle qualité par les équipes de PRA et les superviseurs (écoutes, etc)";Préventif;Manuelle;2;2;2;2;3;;;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Créer de la valeur: Vendre en rebond sur les appels entrants;Risque de manque de performance économique des offres/projets;motivation insuffisante des CCs;;;;;;;;plan d'animation + incentive effectuée par OSF/GVC;Préventif;Manuelle;1;2;2;2;3;;;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Créer de la valeur: Vendre en rebond sur les appels entrants;Risque de mauvaise prise en charge des demandes clients externes;Vente non bouclée avec les clients;;;;;;;;"L'objectif des CCs est de requérir les accords des clients et de le codifier dans le CRM
Le plateau vente en ligne de DV/DVRC/DVL prend le relais avec le call 2 et déroule le process pour concrétiser la vente";Préventif;Manuelle;2;2;2;2;3;;;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Créer de la valeur: Vendre en rebond sur les appels entrants;Risque de mauvaise prise en charge des demandes clients externes;Incident sur le CRM: impossibilité de codifier les manifestations d'interêt des clients;;;;;;;;Remontées par mail au fil de l'eau à DVL en cas d'indisponibilité du CRM ;Préventif;Manuelle;1;2;2;2;3;;;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;Absence de clôture du traitement des insatisfactions client;;;;;;;;"Clôture des cas dans le CR avec justification
reporting journalier des clients retenus (satisfaits) et non retenus
Les cas non retenus sont transmis à DMGP pour prise en charge
Fichier de suivi mis à la disposition du CC";Préventif;Manuelle;1;3;2;3;3;;;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;Déficit de compétences des CC;;;;;;;;"Plan de formation annuel déroulé par PRA avec des évaluations pérodqies à froid pour s'assurer du besoin de mise à niveau ou non
Formation au lancement des nouvelles offres";Préventif;Manuelle;1;3;2;3;3;;;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;"Outils inadpatés pour la fidé/rét: 
  - vue 360° sur le client (signalisations, conso, volume de rechargement, abonnements en cours, scoring client, etc)
 - simulatueur (aide à la décision)";;;;;;;;"Consultation des différents outils contenant des informations client
Le projet de migration au CRM360 devrait répondre à cette problématique";Préventif;Manuelle;3;3;2;3;3;;;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;manque d'autonomie : limitation des habilitations sur le plateau empêchant le traitement des ;;;;;;;;Fusion avec le plateau hot survey  qui gère les clients sondés et qui disposait déjà des profils et des habilitations manquants;Préventif;Manuelle;1;3;2;3;3;;;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;absence de catalogue de rétention: limitation dans la capacité à faire des gestes commerciaux;;;;;;;;Mise à jour  trimiestrielle du catalogue fidélisation/rétention avec DMGP;Préventif;Manuelle;1;3;2;3;3;;;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;Retard de mise à disposition des gestes commerciaux aux clients;;;;;;;;Délai de 48 hrs annoncé au client selon le fichier envoyé chaue 48hrs  DMGP/DSVC pour le positionnement des gestes co;Préventif;Manuelle;1;3;2;3;3;;;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de mauvaise prise en charge des demandes clients externes;Non exhaustivité des clients taggués comme fragiles;;;;;;;;"Détection des clients fragiles sur tous les plateaux remontés au plateau fidé/rét sur la base des critères définis par OSF/GVC

Export quotidien des clients fragiles dans le CRM

Mise à jour des critères au besoin et en fonction des remontées des plateaux aussi";Préventif;Manuelle;2;3;2;3;3;;;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Fidélisation/Rétention des clients;Risque de fraude;Excès de gestes commerciaux attribués aux clients par les CCs;;;;;;;;"Contrôle et validation par le pilote du plateau des gestes co à annoncer au client

Positionnement des gestes par DMGP/DSVC sur la base des listes envoyées par le plateau fidé/rét 2fois/semaine";Préventif;Manuelle;1;3;2;3;3;;;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Evaluation des impacts financiers des incidents impactants sur les plateaux (arrêt production et/ou augmentation flux) ;Risque de non fiabilité de l'information pour le pilotage;Indisponibilité des données d'analyse: nombre de clients n'ayant pu joindre le plateau, etc;;;;;;;;"Réception des données de la part des plateaux sur la base de la variation des flux d'appels
Objectif: fréquence mensuelle";Préventif;Manuelle;2;2;2;;1;;;3;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Maîtrise des charges du service client;Risque de non mise en œuvre de la stratégie;KPI / périmètres mal définis;;;;;;;;"Analyse des coûts, dont coût par X, pour définir les périmètres sur lesquels agir
Suivi mensuel sur la table F";Préventif;Manuelle;1;2;2;;1;;;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Maîtrise des charges du service client;Risque de manque de performance économique des offres/projets;KPI / périmètres mal définis;;;;;;;;"Analyse des coûts, dont coût par X, pour définir les périmètres sur lesquels agir
Suivi mensuel sur la table F";Préventif;Manuelle;1;2;2;;1;;;2;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de divulgation d’informations confidentielles;Diffusion de données personnelles des clients à partir du BO 360 sur OM;;;;;;;;Habilitations sur le BO360 détenus uniquement par les superviseurs et le responsable du call center;Préventif;Manuelle;2;3;2;4;4;1;2;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer la relation client à distance;Risque de divulgation d’informations confidentielles;Défaut d'identification des clients demandant des informations sur OM;;;;;;;;"deux types d'activités sur Orange Money:
 - demande d'assistance sur déblocage, réinitialisation mot de passe 
 - demande d'informations
selon l'appel du client, soit il est identifié, soit il est authentifié
 - indentification: nom, prénom, n°tél, n°CNI, 
 - authentification: solde, nature dernière transaction, montant dernière transaction";Préventif;Manuelle;2;3;2;4;4;1;2;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de non fiabilité de l'information pour le pilotage;absence de reporting automatisé dans l'outil de suivi des clients ;Piloter la mise à disposition du reporting automatisé sur le suivi des clients Orange Energie;Pierre Simedou;;;31/12/2018;;Non échu;suivi manuel hebdo des ventes dans l'outil mis à disposition par le fournisseur (pulse);Préventif;Manuelle;4;3;2;4;4;1;2;10;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de mauvaise prise en charge des signalisations clients externes;incident sur l'interfaçage ERP et tango: absence de prise en compte des paiements du client entraînant une suspension du compte client;;;;;;;;Possibilité pour le responsable du call center HV d'activer manuellement le compte client ;Préventif;Manuelle;2;3;2;4;4;1;2;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de non respect des engagements commerciaux;Indisponibilité de Tango et/ou USSD: Impossbilité pour le client de procéder au paiement (Mode de paiement limité: un moyen de paiement unique offert au client# OM);;;;;;;;Possibilité pour le responsable du call center HV d'activer manuellement le compte client ;Préventif;Manuelle;2;3;2;4;4;1;2;5;2
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de mauvaise prise en charge des signalisations clients externes;Absence de supervision en interne des outils Pulse et Smart Solar auquel est interfacé l'ERP ;Définir avec DSI et DSD, la stratégie à retenir sur la sécurisation des applications Orane Energie;Pierre Simedou;;;31/12/2018;;en cours;;;;4;3;2;4;4;1;2;10;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de fraude;absence de quitus sécurité sur les outils pulse et smart solar  auquel est interfacé l'ERP;Définir avec DSI et DSD, la stratégie à retenir sur la sécurisation des applications Orane Energie;Pierre Simedou;;;31/12/2018;;en cours;;;;4;3;2;4;4;1;2;10;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de fraude;Habilitations ouvertes totalement sur Smart Solar et Pulse pour le responsable du call center : possibilités de modifier toutes les composantes de l'offre du client;Définir avec DSI et DSD, la stratégie à retenir sur la sécurisation des applications Orane Energie;Pierre Simedou;;;31/12/2018;à valider;en cours;;;;3;3;2;4;4;1;2;8;1
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de non respect des engagements commerciaux;Retard de prise en charge des signalisations des clients;;;;;;;;"Support niveau 1 assuré par le plateau dédié entre 8h et 22h, 7j/7

Formation des équipes techniques de Sonatel sur le support niveau 2 avec le client qui doit venir en agence pour le diagnostic en vue du remplacement";préventif;Manuelle;1;3;2;4;4;1;2;3;3
Facturer, recouvrer et gérer la relation avec les clients Grand public,Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;Gérer les relations Front Office avec les clients Grand public, Professionnel et Distributeur partenaire;SNT DSC \ OSF;Développer l'activité solaire;Risque de non respect des engagements commerciaux;Méconnaissance du kit solaire par les CCs;;;;;;;;plan de formation avec évaluation à chaud et à froid des CCs du plateau HV par DSC/DTSM/PRA et DSC/DTSM/SPM;Préventif;Manuelle;1;3;2;4;4;1;2;3;3
