Macro Processus;Processus;Sous-Processus;Sous-Entité;Activité;Risque;Causes;Description du plan d'action;Porteur;Email porteur;Date de début;Date de fin;Avancement;Statut;Contrôle description;Type de controle;Methode de contrôle;Probabilité;Gravité;Financier;Ressources Humaines;Images;Juridique;Commercial;Criticité;Maturité CI
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque d'une communication non maîtrisée ou inadaptée;Mauvaise connaissance de la perception de nos parties prenantes sur nos marques et nos actions (RSE, mécénat, etc);;;;;;;;"Enquête parties prenantes effectuée par ARQ sur la satisfaction des clients horizons FMI (Fixe, Mobile, Internet)
Etude perception image(proximité et notoriété) de SONATEL 	   
Mise en place d'un baromètre corporate annuel
Etudes sur l'empreinte économique";Détectif;Manuelle;1;1;1;;2;1;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque d'une communication non maîtrisée ou inadaptée;Messages et axes de communication mal définis;;;;;;;;"Pour chaque communication : Identification des messages les plus forts; Identification et choix des supports les mieux adaptés; Contrat annuel avec une agence conseil renouvelable, après évaluation de l'agence; Validation du message par DCIRE,""
Exploitation des résultats des enquêtes de satisfaction client sur l'image de la Sonatel et sur la notoriété des marques pour la rédaction des messages de communication
Partage des résultats avec l'agence de communication";Préventif;Manuelle;1;1;1;;2;1;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque d'une communication non maîtrisée ou inadaptée;Utilisation d'une image sans droit d'utilisation (périméé, pas demandée, etc);;;;;;;;"Utilisation d'un template validé par DRJ

Contrôle de la validité des images fournies par l'agence de communication au niveau de CORP";Préventif;Manuelle;1;1;1;;2;1;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de Corruption;Absence de Due Diligence;;;;;;;;"Due Diligence des partenaires et archivage par ARQ/PACO
Formation des populations sensibles 
Dispositif d’alerte (whistleblowing) existant, communiqué et accessible par tous";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de Corruption;Sollicitations par des officiels ou autres fournisseurs ou partenaires;;;;;;;;"Communication des politiques et procédures (anti-corruption, éthique, etc.) à tous les employés (intranet, Compliance Day, etc.)
Sensibilisation des tiers (partenaires, fournisseurs, etc.) aux politiques du groupe Orange en matière de prévention de la corruption
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, etc.)
Eléments de traçabilité en lien avec la politique des cadeaux reçus et/ou émis (communication des seuils)
Dispositif de traçabilité des donations (reçu officiel, certificat, etc.)
Les dispositifs hors process (magal, patrons de presse ) sont validés par DG";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de Corruption;Conflits d’intérêt;;;;;;;;"- Existence d'une Charte de déontologie  qui pose des règles pour les relations avec les fournisseurs,partenaires et clients
-Signature de la « déclaration de conflits d’intérêts » en cas de conflit potentiel.";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de Corruption;Non respect de la politique de cadeaux (Invitations à des évènements prestigieux);;;;;;;;"Communication des politiques et procédures (anti-corruption, éthique, etc.) à tous les employés (intranet, Compliance Day, etc.)
Sensibilisation des tiers (partenaires, fournisseurs, etc.) aux politiques du groupe Orange en matière de prévention de la corruption
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, etc.)
Eléments de traçabilité en lien avec la politique des cadeaux reçus et/ou émis (communication des seuils)
Dispositif de traçabilité des donations (reçu officiel, certificat, etc.)
Les dispositifs hors process (magal, patrons de presse ) sont validés par DG";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication institutionnelle et sur les actions RSE  & le mécénat;Risque de Corruption;Image de marque à conforter;;;;;;;;"Communication des politiques et procédures (anti-corruption, éthique, etc.) à tous les employés (intranet, Compliance Day, etc.)
Sensibilisation des tiers (partenaires, fournisseurs, etc.) aux politiques du groupe Orange en matière de prévention de la corruption
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, etc.)
Eléments de traçabilité en lien avec la politique des cadeaux reçus et/ou émis (communication des seuils)
Dispositif de traçabilité des donations (reçu officiel, certificat, etc.)";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque de réputation (image négative);Lobbying négatif des détracteurs de sonatel sur le digital - Prises de paroles défavorables sur le digital;;;;;;;;"""Construction d'un réseau d'ambassadeurs digitaux (internes et externes) pour réagir aux publications défavorables quand c'est nécessaireEn fonction du sujet, la direction générale peut fournir des """"précisions"""" sur le sujet validé par le domaine d'activités

Mise en place d'un social hub qui coordonnera l'ensemble des actions digitales -veille et anticipation des actions et gestion de crise (DCIRE, DMGP, DDE, DSC, DRH et DSD  + l'agence digitale)";Préventif;Manuelle;2;1;1;;;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque de réputation (image négative);Badbuzz (Buzz partant d'insatisfaction alimenté par les internautes);;;;;;;;"Construction d'un réseau d'ambassadeurs digitaux (internes et externes) pour réagir aux posts 

Signature de contrat media RP avec4 sites d'infosau Sénégal
Souscription aux alertes google

Partage d'alertes sur les media sociaux au fil de l'eau ";Préventif;Manuelle;4;3;1;;4;;3;1;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque de réputation (image négative);veille inefficace;;;;;;;;"Mise en place d'un social hub qui coordonne l'ensemble des actions digitales 
Veille à travers des outils (Ex: Alerti, Talkwalker, etc) et sur les réseaux sociaux
Anticipation des actions et gestion de crise (DCIRE, DMGP, DDE, DSC, DRH et DSD  + l'agence digitale)";Préventif;Manuelle;1;2;1;;4;;1;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque de corruption;sollicitation par les influenceurs pour des contreparties;;;;;;;;"Mise en place d'un process de gestion des relations avec les influenceurs
Sensibilisation à la compliance";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque de corruption;conflit d'intérêt dans le choix des influenceurs;;;;;;;;"Sélection des influenceurs sur la base de critères (audience, nombre de posts, viralité des posts,  etc) et validation par DCIRE puis DG
Suivi de l'activité des influenceurs avec des kpi mensuels";Préventif;Manuelle;1;4;4;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque de réputation (image négative);rupture de service;Acquérir une solution de bak up pour ne pas avoir de rupture de service (puces du concurrent, etc);Biaye;;;15/04/2020;;Non échu;"accès fixe et internet au social hub
Réseau d'ambassadeurs";Préventif;Manuelle;1;3;1;;4;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;CORP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;CORP_SP_Développer les Relations avec les Acteurs de l’Ecosystème Numérique;SNT DCIRE \ CORP;Assurer la communication digitale et gérer la e-réputation de Sonatel;Risque cyber : violation de l'intégrité du SI;piratage des comptes de l'équipe digitale;;;;;;;;"Liste de diffusion fermée dans le social hub
existence de groupe whatsapp fermé
contrôle d'accès physique au social hub
accompagnement par DSI sur les aspects sécurité IT";Préventif;Manuelle;1;3;1;;4;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Analyse non approfondie du profil des demandeurs de soutien faute de preuves suffisantes et probantes. ;;;;;;;;"analyse approfondie du profil du demandeur: 
fiche de préqualification remplie par le bénéficiaire
Une visite est réalisée au besoin avant financement. 
Des références sont demandées aux porteurs de projet selon le type de demande faite
Des avis d'expert ou de personnes de référence sont demandées avant le financement du projet ainsi que la copie de la CNI et leur CV des porteurs de projets au besoin";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Analyse non approfondie du profil des demandeurs de soutien faute de preuves suffisantes et probantes. ;;;;;;;;"
Etablissement d'un PV après chaque comité de pré-sélection. 

En l'absence de comité l'avis écrit du conseil de fondation est recueilli en cas de réception d'un projet après le conseil, un descriptif et une analyse des impacts du projet sont faits et présentés au Président du conseil de la fondation
";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Analyse non approfondie du profil des demandeurs de soutien faute de preuves suffisantes et probantes. ;;;;;;;;Enquêtes post-financement en cas de doute menées par un prestataire de la Fondation pour s’assurer que les dons ont été bien utilisés;Détectif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Inexistence d’études formalisées permettant d’estimer les besoins financiers réels des demandeurs pour leurs projets. ;;;;;;;;" - consultations réalisées par la fondation, choix du fournisseur avec le bénéficiaire
 - pro forma établi au nom de la fondation
Les rubriques du projet sont étudiées pour vérifier si les montants ne sont pas exagérés et seules les rubriques qui intéressent la Fondation sont sélectionnées pour être financées (élagage de certaines rubriques)
- Le demandeur remet un budget prévisionnel qui est toujours réetudié par la FS (qui peut soutenir l'intégralité ou une partie)
 - La fondation paie  généralement directement au fournisseur";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Cumul de fonctions incompatibles;;;;;;;;"Une double signature est requise pour tous les décaissements de la Fondation : les montants inférieurs ou égaux à 1 000 000 FCFA sont signés conjointement par l'Administratrice générale et le Responsable financier 
 - entre 1.000.000F et 5.000.000 F signature par le DCIRE
 - au-delà de 5.000.000F, signature par DG qui est le le Président du Conseil de Fondation et 
Chèque barré et nominatif avec contrôle d'identité lors de la récupération";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Cumul de fonctions incompatibles;;;;;;;;"Le Conseil de la Fondation se réunit 2 fois par an pour étudier entre autres l'état d'exécution du budget et en fin d'année, le rapport annuel et ses états financiers sur les activités de la Fondation est produit.
Tenue de comités de préselection et de sélection 
Automatisation du circuit de commande dans Oracle
Les comptes de la fondation sont audités par un cabinet externe (même que ceux de Sonatel)";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Absence d’une charte déontologique spécifique aux activités de la Fondation (utilisation de la charte SONATEL pour le moment);;;;;;;;"Adaptation de la charte reçue de FT et de sonatel (issue des recos de l'audit)
Existence d'une charte déontologique pour les memebres des comités";Préventif;Manuelle;2;2;2;1;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Utilisation des dons à d'autres fins par les bénéficiaires. (Pas de feed back sur l'utilisation des subventions);;;;;;;;" - Au début du projet, la Fondation décaisse la moitié du financement et le reliquat est libéré en fonction de l'utilisation, après justification des dépenses effectuées.
 - Signature d'un BL lors de la livraison
 - Les bénéficiaires de financement envoient lors du versement du solde, les rapports d'activité avec les preuves d'utilisation des fonds prévu dans la convention.
Renforcemement du contrôle : éviter toute réception de fonds par le bénéficiaire direct, le Fondation paie directement les factures des prestataires          
Evaluation faite par la Fondation.                                    
Elaboration d'un plan de communication de la fondation en cours (Communication portée par DCIRE)";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Financement de projets initiés et portés par des supposés escrocs.;;;;;;;;" - Clause: la première partie du financement est versée au début. Après présentation des pièces justificatives dans un délai contractualisé et mentionné dans la convention nous liant au porteur du projet  (rapport d'activité, photos, etc) la deuxième tranche est soldée.
 - les projets avec impact uniquement personnel ne sont pas financés
 - des justificatifs sont demandés lors du dépôt de la demande comme le budget, les autres partenaires éventuels, etc
 - Les projets sont financés dans la limite du budget disponible de la fondation 
 - Assistance par le personnel de la FS pour mettre au norme le projet présenté   ";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Non utilisation / Utilisation inappropriée des dons de la fondation par les bénéficiaires;Encadrer par un contrat entre la FS et le bénéficiaire la maintenance des dons d'équipement pour éviter une utilisation inappropriée;Aminata Fall SIDIBE;;;01/01/2019;;soldé;"Existence de convention validée et codifiée par DRJ, uis signée avec le bénéficiaire

Suivi et évaluation par la fondation ou avec l'accompagnement d'un cabinet à fréquences variables (ex: 1an pour le matériel médical)";Préventif;Manuelle;2;2;2;1;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;Non utilisation / Utilisation inappropriée des dons de la fondation par les bénéficiaires;;;;;;;;Sensibilisation des bénéficiaires sur l'importance du matériel;Préventif;Manuelle;2;2;2;1;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;décaissement non validé au niveau de la caisse d'avance;;;;;;;;application de la procédure caisse d'avance de la fondation POG4007-01;Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de fraude;absence d'automatisation du suivi des dépenses;;;;;;;;" Un suivi budgétaire est effectué manuellement par l'Assistant financier qui interroge le compte du projet concerné à chaque fois qu'elle reçoit une demande d'achat, pour s'assurer que le budget est disponible avant de viser la demande. 

Saisie des pièces dans Oracle";Préventif;Manuelle;1;2;2;1;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);Financement de projets non éligibles (Association image/budget de Sonatel et celle/celui de la fondation);;;;;;;;"Arbitrage: Les Axes de mécénat et les types de projets à financer sont pré-définis;
Durée de financement variable selon le projet 
Courrier de réponse encourageant les initiatives et rappelant les axes de mécénat et programmes de la fondation";Préventif;Manuelle;1;2;1;;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);Appropration par l'Etat de projet engagé par la Fondation ;;;;;;;;"La Fondation travaille de plus en plus avec les organes de l'Etat (Ministére de la Santé, de l'Edcation et de la Culture) qui sont le plus souvent impliqués dans le choix des projet à soutenir. 
A coté de l'Etat, la fondation travaille avec un nombre important d'organisation et d'institution pour mettre en oeuvre la politique de mécénat
 Communication de la fondation sur ses propres actions (site web, médias sociaux, événementiels etc)
Communication sur l'appui de la FS portée par les partenaires
Logo de la fondation apposée sur tous les dons";Préventif;Manuelle;1;2;1;;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);Pression politique ou court-circuit du processus de sélection des dossiers;;;;;;;;Les dossiers soumis par les hommes politiques sont traités de la même manière que les autres dossiers.;Préventif;Manuelle;3;2;1;;3;;;1;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);Retard sur le déploiement des actions liés au versement tardif de la subvention et des recettes sur les ventes de matériels réformés par Sonatel;;;;;;;;"Budget de trésorerie établi pour planifier les appels de fonds auprès de SM et SA en fonction des actions prévues

Budget validé en début d'année lors de la tenue du PCA. Rallonge udgétaire demandée au besoin";Préventif;Manuelle;2;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);Demandes non enregistrées / non tracées au niveau de l'assistante;;;;;;;;Registre manuel renseigné au fil de l'eau par l'assistante;Préventif;Manuelle;2;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);"
Choix arbitraires du fait de la surcharge de travail due à une croissance exponentielle du nombre de dossiers de demande de financement reçus";;;;;;;;"Mise en ligne, sur le site de la Fondation, des prérequis necessaires ou indispensables au dépôt d'un projet

Tenue de comités de sélection et de présélection de choix des projets à accompagner";Préventif;Manuelle;2;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);absence d’évaluation des impacts des projets de mécénat;Budgétiser l'envoloppe qui va permettre de prendre l'attache d'un cabinet spécialisé pour mesurer l'impact des projet de la fondation (sous réserve a;Aminata Fall SIDIBE;;;01/01/2019;;soldé;Contractualisation avec un cabinet (Aziz Dieye) qui déroule actuellement des actions terrains pour l'évaluation;Préventif;Manuelle;2;2;1;;3;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de réputation (image négative);Retard de traitement des demandes de financement des projets mécenat;;;;;;;;"Toute correspondance de demande de financement fait l'objet de réponse systèmatique de la part de la fondation sous un délai de 3jours qui est l'objectif.

Mesure du respect de l'objectif dans le TDB mensuel
Cependant il n'existe pas de délais de réponse sous forme d'objectif fixé car le dimensionnement de l'équipe ne le permet pas.";Préventif;Manuelle;1;2;1;;3;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de non fiabilité de l'information financière;Suivi inapproprié des dépenses engagées par projet.( Il n’existe pas de comptabilité analytique par axe de mécénat ni de tableau de bord opérationnel hebdomadaire.);;;;;;;;" Un suivi budgétaire est effectué manuellement par l'Assistant financier qui interroge le compte du projet concerné à chaque fois qu'elle reçoit une demande d'achat, pour s'assurer que le budget est disponible avant de viser la demande. 
 A la réception de la demande d'achat, l'Administratrice générale vérifie la disponibilité du budget au niveau de l'Axe de mécénat concerné avant de signer.
Au fur et à mesure l'Assistante financière vérifie si le budget n'est pas dépassé par projet et par Axe de mécénat (le transfert de budget entre projets est possible).
Demande de rallonge en cours d'année si un projet à fort impact est présenté et requiert un budget supérieur au budget disponible
Saisie des pièces de dépenses dans Oracle
Budget chargé dans Oracle mais pas de limitation automatique sur les dépassements. 
Elaboration d'un document de suivi des conventions mis à jour au fil de l'eau et reporté mensuellement à l'administratrice";Préventif;Manuelle;2;1;1;;;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de non maîtrise des contrats;Non validation des contrats définitifs par la DRJ(. Chaque contrat comporte des spécificités ou des clauses particulières qui doivent faire l’objet d’une validation systématique par la DRJ);;;;;;;;"Tous les contrats sont systématiquement validés et codifiés par DRJ

Etablissement des contrats types par la DRJ/ Seules les conventions devant être signées par le PCF doivent être validées par la DRJ

Consultation de la DRJ pour les contrats spécifiques ";Préventif;Manuelle;1;1;;;1;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de non fiabilité de l'information pour le pilotage;Défaut de formalisation des procédures de travail ;;;;;;;;Procédures rédigées et chargées dans qualitoo;Préventif;Manuelle;1;1;1;;1;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque d'inadéquation profil/poste;Absence d'un dispositif adapté pour évaluer la performance des agents permanents de la Fondation ;;;;;;;;Evaluation manuelle envoyée à la DRH;Préventif;Manuelle;1;4;;4;;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de démotivation du personnel ;Absence d'un dispositif adapté pour évaluer la performance des agents permanents de la Fondation ;;;;;;;;Evaluation manuelle envoyée à la DRH;Préventif;Manuelle;1;3;;4;1;;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de démotivation du personnel ;RH insufisantes;;;;;;;;"Recrutement de 2 intérimaires au mois d'avril et mai 2018

Redeploiement équipe Sonatel et recrutements complémentaires en cours";Préventif;Manuelle;2;3;;4;1;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque d'une communication non maîtrisée ou inadaptée;Utilisation des dons à d'autres fins par les bénéficiaires. (Pas de feed back sur l'utilisation des subventions);;;;;;;;"Contrôle sur site par la fondation pour s'assurer de l'utilisation des dons conformément à leurs objectifs/  
Les dons sont toujours communautaires et non personnels
Missions sur site de suivi-évaluation par des cabinets et les équipes
S'Appuyer sur les collegues des agences régionales et membres de l'Amicale des retraités de Sonatel";Détectif;Manuelle;2;2;;;2;;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;Analyse des besoins inexistante ou inappropriée (décalage avec le besoin réel, attente retour de faveur, etc.);;;;;;;;"les analyses des demandes portent sur l'impact la cible et la dimension sociale du projet.

Procédure d’attribution des subsides et donations (limites, restrictions, bénéficiaires, approbation, etc.)

Code de déontologie, politique anti-corruption Groupe 
Formation des populations sensibles (sessions dédiées, e-learning éthique et corruption, concurrence, sécurité des données, etc.)
décisions prises en comité
";Préventif;Manuelle;1;3;1;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;Erreur, négligence dans les controles;;;;;;;;"Les demandes passent par l'AG qui les analyse avant de les transmettre au superviseur de programme.
 
Dispositif de traçabilité des donations (reçu officiel, lettre de transmission borderau de livraison certificat, etc.)
Pilotage des dépenses (budget, revue en Conseil de fondation, dépassement, etc.)

Procédure de selection des projetsde mécénat et d’attribution des subsides et donations (limites, restrictions, bénéficiaires, approbation, etc.)
";Préventif;Manuelle;1;3;1;4;4;4;;3;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;Absence de Due Diligence;Piloter la Due Diligence des partenaires ;Aminata Fall SIDIBE;;;31/12/2020;;En cours;"
Formation des équipes de la fondation sur l'éthique et la compliance 
Dispositif d’alerte (whistleblowing) existant, communiqué et accessible à tous";Préventif;Manuelle;3;3;1;4;4;4;;1;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;Sollicitations par des officiels ou autres fournisseurs ou partenaires;;;;;;;;"Code de déontologie, politique anti-corruption Groupe 

les analyses des demandes portent sur l'impact la cible et la dimension sociale du projet
Aucune priorité n'est donnée par rapport au porteur du projet 

Procédure de selection des projets de mécénat et d’attribution des subsides et donations (limites, restrictions, bénéficiaires, approbation, etc.) (PA à finaliser)

Formation des équipes de la fondation sur l'éthique et la compliance


 
";Préventif;Manuelle;2;3;1;4;4;4;;2;
Développer la Communication Institutionnelle et les Relations extérieures;Développer les actions de mécénat;Développer les actions de mécénat;SNT DCIRE \ FOND;Mécénat;Risque de corruption;Conflits d’intérêt;Faire renseigner et signer les déclaration de conflit d'intérêt au personnel de la Fondation;Aminata Fall SIDIBE;;;31/12/2020;;En cours;" - Existence d'une Charte de déontologie  qui pose des règles pour les relations avec les fournisseurs,partenaires et clients
-Signature de la « déclaration de conflits d’intérêts » en cas de conflit potentiel.

";Préventif;Manuelle;3;3;1;4;4;4;;1;
